🕘️更新时间,#genre#
贵州卫视,http://61.136.172.236:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://139.196.151.191:2051/rtp/239.45.1.81:5140
海南卫视,http://139.129.231.228:3529/rtp/239.21.2.14:5002
海南卫视,http://120.55.49.231:3095/rtp/233.50.201.55:5140
海南卫视,http://59.173.243.210:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://221.2.148.205:8154/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0%24LR%E2%80%A2IPV4%E3%80%8E%E7%BA%BF%E8%B7%AF82%E3%80%8F
河北卫视,http://139.196.151.191:2051/rtp/239.45.1.44:5140
河北卫视,http://139.129.231.228:3529/rtp/239.21.1.168:5002
河北卫视,http://120.55.49.231:3095/rtp/233.50.201.140:5140
河北卫视,http://120.55.49.231:3095/rtp/233.50.201.50:5140
河北卫视,http://116.128.242.83:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://60.12.183.46:9901/tsfile/live/0111_1.m3u8
河北卫视,http://61.136.172.236:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://124.128.73.58:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://58.19.38.162:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://139.196.151.191:2051/rtp/239.45.0.3:5140
河南卫视,http://139.129.231.228:3529/rtp/239.21.2.37:5002
河南卫视,http://120.55.49.231:3095/rtp/233.50.201.144:5140
河南卫视,http://120.55.49.231:3095/rtp/233.50.201.44:5140
河南卫视,http://60.12.183.46:9901/tsfile/live/0121_1.m3u8
河南卫视,http://59.173.243.210:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://61.136.172.236:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://139.196.151.191:2051/rtp/239.45.0.6:5140
吉林卫视,http://139.129.231.228:3529/rtp/239.21.2.49:5002
吉林卫视,http://120.55.49.231:3095/rtp/233.50.201.48:5140
吉林卫视,http://59.173.243.210:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://61.136.172.236:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://58.19.38.162:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://139.196.151.191:2051/rtp/239.45.3.177:5140
江苏卫视,http://139.129.231.228:3529/rtp/239.21.1.89:5002
江苏卫视,http://120.55.49.231:3095/rtp/233.50.201.106:5140
江苏卫视,http://120.55.49.231:3095/rtp/233.50.201.41:5140
江苏卫视,http://116.128.242.83:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://59.173.243.210:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://61.136.172.236:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://58.19.38.162:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://139.196.151.191:2051/rtp/239.45.1.122:5140
江西卫视,http://139.129.231.228:3529/rtp/239.21.1.167:5002
江西卫视,http://120.55.49.231:3095/rtp/233.50.201.145:5140
江西卫视,http://120.55.49.231:3095/rtp/233.50.201.53:5140
江西卫视,http://116.128.242.83:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://59.173.243.210:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
